cluster,readability,maintainability,modularity,count
-1,45.34231805929919,47.025606469002696,65.40566037735849,742
0,75.25655594405595,75.27316433566433,65.22727272727273,9152
1,13.625,38.25,65.75,8
2,17.5,86.83333333333333,60.666666666666664,6
3,41.166666666666664,6.333333333333333,71.16666666666667,6
4,88.0,55.4,74.6,5
5,6.625,80.75,64.25,8
6,52.0,34.714285714285715,53.714285714285715,7
7,56.4,73.6,79.0,5
8,34.57142857142857,98.71428571428571,71.28571428571429,7
9,79.8,22.2,69.8,5
10,76.25,15.875,62.5,8
11,48.625,88.5,79.375,8
12,63.125,28.875,71.625,8
13,46.0,42.8,67.8,5
14,94.2,9.2,64.0,5
15,32.8,61.0,73.4,5
16,98.6,67.2,75.8,5
17,25.4,48.2,70.8,5
