_id,timestamp,userId,focusScore,currentStreak,longestStreak,sessionDuration,activeFileDuration,idleTime,typingRhythm,productivityStatus,__v,cluster,tabMetrics.total,tabMetrics.rapid,tabMetrics.patterns.backAndForth,tabMetrics.patterns.sequential,copyPasteMetrics.total,copyPasteMetrics.copy,copyPasteMetrics.cut,copyPasteMetrics.paste,errorMetrics.syntaxErrors,errorMetrics.warningCount,errorMetrics.problemCount,codeMetrics.linesAdded,codeMetrics.linesDeleted,codeMetrics.fileEdits,codeMetrics.codeComplexity,codeMetrics.testCoverage,achievements.0,errorSummary.total,errorSummary.recent,errorSummary.bySeverity.error,errorSummary.bySeverity.warning,errorSummary.bySeverity.info
678b4b6b45ee875d7437c6a0,2025-01-18T12:31:28.777357,user_1,52.4,5,7,30.654994,615.556,454.974,70,In Flow 🌊,0,Moderate Productivity,9,0,2,4,10,1,0,3,0,5,7,120,29,1,10,60,,12,[],0,5,7
678b4b6b45ee875d7437c6a1,2025-01-18T12:36:28.777357,user_1,77.6,5,7,33.042282,1086.015,331.661,78,Focused 🎯,0,High Productivity,20,0,0,5,0,5,1,5,1,2,1,110,7,8,6,18,"{'type': 'CLEAN_CODE_CHAMPION', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a1_ach', 'timestamp': '2025-01-18T12:36:28.777357'}",4,[],1,2,1
678b4b6b45ee875d7437c6a2,2025-01-18T12:37:28.777357,user_2,65.4,4,5,36.139912,905.788,362.577,47,In Flow 🌊,0,Moderate Productivity,5,4,0,0,9,4,2,0,1,3,5,181,7,2,3,8,,9,[],1,3,5
678b4b6b45ee875d7437c6a3,2025-01-18T12:47:28.777357,user_1,67.8,5,9,40.182719,230.556,287.294,62,In Flow 🌊,0,High Productivity,16,4,0,5,2,4,0,2,2,5,7,109,13,1,4,94,,14,[],2,5,7
678b4b6b45ee875d7437c6a4,2025-01-18T12:56:28.777357,user_3,54.1,5,7,17.68859,493.983,699.182,49,In Flow 🌊,0,Moderate Productivity,17,3,3,5,0,1,3,0,2,5,5,61,20,10,0,15,,12,[],2,5,5
678b4b6b45ee875d7437c6a5,2025-01-18T13:06:28.777357,user_3,35.7,2,4,27.723917,291.979,831.139,35,Distracted 😕,0,Low Productivity,18,1,1,0,0,3,0,1,4,4,13,100,37,3,5,29,,21,[],4,4,13
678b4b6b45ee875d7437c6a6,2025-01-18T13:09:28.777357,user_1,68.9,3,6,44.679125,466.058,347.326,76,In Flow 🌊,0,High Productivity,17,3,2,2,3,2,2,0,0,5,5,10,9,4,4,62,,10,[],0,5,5
678b4b6b45ee875d7437c6a7,2025-01-18T13:13:28.777357,user_1,56.7,2,8,48.012119,695.96,699.932,65,In Flow 🌊,0,Moderate Productivity,18,3,1,3,4,5,0,4,0,5,8,186,18,7,10,90,,13,[],0,5,8
678b4b6b45ee875d7437c6a8,2025-01-18T13:22:28.777357,user_2,32.3,5,2,22.269342,317.393,892.389,38,Distracted 😕,0,Low Productivity,15,1,1,0,8,2,3,3,3,4,9,163,46,5,8,49,,16,[],3,4,9
678b4b6b45ee875d7437c6a9,2025-01-18T13:24:28.777357,user_1,99.1,0,1,68.237862,1055.558,118.029,75,Focused 🎯,0,High Productivity,9,1,3,3,6,5,2,1,1,2,4,95,9,10,3,61,"{'type': 'PRODUCTIVITY_GURU', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a9_ach', 'timestamp': '2025-01-18T13:24:28.777357'}",7,[],1,2,4
678b4b6b45ee875d7437c6a10,2025-01-18T13:27:28.777357,user_1,61.2,3,3,54.329394,1022.329,533.467,60,In Flow 🌊,0,Moderate Productivity,8,3,0,4,9,3,0,5,1,1,6,57,2,8,10,85,,8,[],1,1,6
678b4b6b45ee875d7437c6a11,2025-01-18T13:34:28.777357,user_2,86.0,2,9,53.331716,863.68,362.58,75,Focused 🎯,0,High Productivity,14,3,2,2,0,0,2,1,2,3,8,23,44,10,2,30,"{'type': 'CLEAN_CODE_CHAMPION', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a11_ach', 'timestamp': '2025-01-18T13:34:28.777357'}",13,[],2,3,8
