_id,timestamp,userId,focusScore,currentStreak,longestStreak,sessionDuration,activeFileDuration,idleTime,typingRhythm,productivityStatus,__v,cluster,tabMetrics.total,tabMetrics.rapid,tabMetrics.patterns.backAndForth,tabMetrics.patterns.sequential,copyPasteMetrics.total,copyPasteMetrics.copy,copyPasteMetrics.cut,copyPasteMetrics.paste,errorMetrics.syntaxErrors,errorMetrics.warningCount,errorMetrics.problemCount,codeMetrics.linesAdded,codeMetrics.linesDeleted,codeMetrics.fileEdits,codeMetrics.codeComplexity,codeMetrics.testCoverage,achievements.0,errorSummary.total,errorSummary.recent,errorSummary.bySeverity.error,errorSummary.bySeverity.warning,errorSummary.bySeverity.info,kmeans_cluster,pca1,pca2,tsne1,tsne2,isolation_forest_anomaly
678b4b6b45ee875d7437c6a0,2025-01-18T12:31:28.777357,user_1,52.4,5,7,30.654994,615.556,454.974,70,In Flow 🌊,0,Moderate Productivity,9,0,2,4,10,1,0,3,0,5,7,120,29,1,10,60,,12,[],0,5,7,1,-0.41117838848159377,-0.00901689269889292,-6.2549343,-27.603996,1
678b4b6b45ee875d7437c6a1,2025-01-18T12:36:28.777357,user_1,77.6,5,7,33.042282,1086.015,331.661,78,Focused 🎯,0,High Productivity,20,0,0,5,0,5,1,5,1,2,1,110,7,8,6,18,"{'type': 'CLEAN_CODE_CHAMPION', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a1_ach', 'timestamp': '2025-01-18T12:36:28.777357'}",4,[],1,2,1,2,-2.912751880658605,-0.12978859690483194,-49.841545,-12.25619,1
678b4b6b45ee875d7437c6a2,2025-01-18T12:37:28.777357,user_2,65.4,4,5,36.139912,905.788,362.577,47,In Flow 🌊,0,Moderate Productivity,5,4,0,0,9,4,2,0,1,3,5,181,7,2,3,8,,9,[],1,3,5,1,-1.1665249403381721,-0.20074424051926715,-2.669143,29.52739,1
678b4b6b45ee875d7437c6a3,2025-01-18T12:47:28.777357,user_1,67.8,5,9,40.182719,230.556,287.294,62,In Flow 🌊,0,High Productivity,16,4,0,5,2,4,0,2,2,5,7,109,13,1,4,94,,14,[],2,5,7,1,0.37007566365849665,0.4163639426432366,11.762637,-26.697924,1
678b4b6b45ee875d7437c6a4,2025-01-18T12:56:28.777357,user_3,54.1,5,7,17.68859,493.983,699.182,49,In Flow 🌊,0,Moderate Productivity,17,3,3,5,0,1,3,0,2,5,5,61,20,10,0,15,,12,[],2,5,5,1,0.9558831138142841,-1.2297789734915212,21.232374,-1.8390765,1
678b4b6b45ee875d7437c6a5,2025-01-18T13:06:28.777357,user_3,35.7,2,4,27.723917,291.979,831.139,35,Distracted 😕,0,Low Productivity,18,1,1,0,0,3,0,1,4,4,13,100,37,3,5,29,,21,[],4,4,13,0,3.630765034354041,-1.1549594270532377,43.61196,15.567847,1
678b4b6b45ee875d7437c6a6,2025-01-18T13:09:28.777357,user_1,68.9,3,6,44.679125,466.058,347.326,76,In Flow 🌊,0,High Productivity,17,3,2,2,3,2,2,0,0,5,5,10,9,4,4,62,,10,[],0,5,5,2,-1.2980172373325416,0.4727372315618755,-30.446245,20.824259,1
678b4b6b45ee875d7437c6a7,2025-01-18T13:13:28.777357,user_1,56.7,2,8,48.012119,695.96,699.932,65,In Flow 🌊,0,Moderate Productivity,18,3,1,3,4,5,0,4,0,5,8,186,18,7,10,90,,13,[],0,5,8,1,-0.28302015537804137,0.19671783439850143,9.093002,-24.418026,1
678b4b6b45ee875d7437c6a8,2025-01-18T13:22:28.777357,user_2,32.3,5,2,22.269342,317.393,892.389,38,Distracted 😕,0,Low Productivity,15,1,1,0,8,2,3,3,3,4,9,163,46,5,8,49,,16,[],3,4,9,0,2.656516201045064,-1.999046367412531,32.945877,7.648049,1
678b4b6b45ee875d7437c6a9,2025-01-18T13:24:28.777357,user_1,99.1,0,1,68.237862,1055.558,118.029,75,Focused 🎯,0,High Productivity,9,1,3,3,6,5,2,1,1,2,4,95,9,10,3,61,"{'type': 'PRODUCTIVITY_GURU', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a9_ach', 'timestamp': '2025-01-18T13:24:28.777357'}",7,[],1,2,4,2,-3.4126485050763558,1.814002935111124,-54.30566,3.748682,1
678b4b6b45ee875d7437c6a10,2025-01-18T13:27:28.777357,user_1,61.2,3,3,54.329394,1022.329,533.467,60,In Flow 🌊,0,Moderate Productivity,8,3,0,4,9,3,0,5,1,1,6,57,2,8,10,85,,8,[],1,1,6,2,-1.7813721510925569,-0.1668731845973224,-19.84402,-21.48219,1
678b4b6b45ee875d7437c6a11,2025-01-18T13:34:28.777357,user_2,86.0,2,9,53.331716,863.68,362.58,75,Focused 🎯,0,High Productivity,14,3,2,2,0,0,2,1,2,3,8,23,44,10,2,30,"{'type': 'CLEAN_CODE_CHAMPION', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a11_ach', 'timestamp': '2025-01-18T13:34:28.777357'}",13,[],2,3,8,2,-1.1384489123428845,1.3756776481097397,-57.601025,-12.292027,1
678b4b6b45ee875d7437c6a12,2025-01-18T13:38:28.777357,user_3,50.2,5,3,47.793636,699.811,651.122,67,In Flow 🌊,0,Moderate Productivity,20,0,0,5,9,1,1,5,0,0,1,141,35,9,6,72,,1,[],0,0,1,1,-2.750425402531665,-1.9588663126251147,-14.524914,-32.969734,1
678b4b6b45ee875d7437c6a13,2025-01-18T13:39:28.777357,user_1,58.3,5,5,32.627458,580.534,405.537,40,In Flow 🌊,0,Moderate Productivity,4,3,1,0,6,5,0,0,1,2,3,21,14,9,7,10,,6,[],1,2,3,1,-1.177558529455991,-1.6264363538674989,-12.684777,24.785992,1
678b4b6b45ee875d7437c6a14,2025-01-18T13:46:28.777357,user_2,46.9,1,2,31.807713,531.149,603.128,63,In Flow 🌊,0,Moderate Productivity,11,0,2,2,4,1,3,5,4,9,12,28,45,7,7,49,,25,[],4,9,12,0,3.70636973822154,1.5097549234835075,55.866955,-1.3366379,1
678b4b6b45ee875d7437c6a15,2025-01-18T13:53:28.777357,user_1,32.0,0,10,44.072591,578.373,738.159,32,Distracted 😕,0,Low Productivity,3,4,0,4,4,2,3,2,5,10,9,35,8,10,6,19,,24,[],5,10,9,0,4.576416892949448,0.9888084967707164,61.728447,15.323591,-1
678b4b6b45ee875d7437c6a16,2025-01-18T13:54:28.777357,user_3,46.6,4,3,54.722946,673.091,532.088,71,In Flow 🌊,0,Moderate Productivity,9,0,3,1,4,3,0,5,5,2,8,117,43,7,6,36,,15,[],5,2,8,0,1.0114650899481024,0.30765979198807303,45.579323,34.061966,1
678b4b6b45ee875d7437c6a17,2025-01-18T13:59:28.777357,user_2,44.7,1,7,60.864699,394.859,895.333,37,In Flow 🌊,0,Low Productivity,17,4,1,0,1,0,0,5,1,2,7,34,49,3,3,55,,10,[],1,2,7,1,0.1392684360329798,-1.729244992764098,10.878503,0.90796024,1
678b4b6b45ee875d7437c6a18,2025-01-18T14:01:28.777357,user_2,80.9,0,9,47.633433,959.418,346.592,84,Focused 🎯,0,High Productivity,18,2,2,1,2,0,3,2,2,2,10,71,27,10,9,1,"{'type': 'DEBUGGING_MASTER', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a18_ach', 'timestamp': '2025-01-18T14:01:28.777357'}",14,[],2,2,10,2,-1.145165913496164,1.301853891919172,-57.812088,-11.932666,1
678b4b6b45ee875d7437c6a19,2025-01-18T14:05:28.777357,user_1,82.4,2,8,39.077315,1218.871,418.073,100,Focused 🎯,0,High Productivity,5,3,1,5,2,3,1,5,0,3,8,30,38,7,6,36,"{'type': 'PRODUCTIVITY_GURU', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a19_ach', 'timestamp': '2025-01-18T14:05:28.777357'}",11,[],0,3,8,2,-2.4087903431656152,1.5844884232513716,-25.973534,-15.702679,1
678b4b6b45ee875d7437c6a20,2025-01-18T14:10:28.777357,user_1,76.8,5,2,36.238757,942.238,206.977,91,Focused 🎯,0,High Productivity,13,3,3,1,4,0,3,4,1,2,10,186,47,4,7,12,"{'type': 'PRODUCTIVITY_GURU', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a20_ach', 'timestamp': '2025-01-18T14:10:28.777357'}",13,[],1,2,10,2,-1.6077909521154194,1.274020202637731,-21.8882,-5.206003,1
678b4b6b45ee875d7437c6a21,2025-01-18T14:20:28.777357,user_2,84.3,1,10,34.284804,1113.805,220.536,82,Focused 🎯,0,High Productivity,18,3,1,2,5,5,0,2,0,2,1,149,50,9,6,34,"{'type': 'DEBUGGING_MASTER', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a21_ach', 'timestamp': '2025-01-18T14:20:28.777357'}",3,[],0,2,1,2,-3.696154507179274,-0.004318063267437354,-47.077343,-21.179325,1
678b4b6b45ee875d7437c6a22,2025-01-18T14:23:28.777357,user_2,50.7,4,7,35.275842,785.458,897.135,30,In Flow 🌊,0,Low Productivity,3,1,3,5,10,4,3,2,0,1,8,87,44,2,4,77,,9,[],0,1,8,1,-0.44229814313002,-2.1726945198829988,7.546256,-9.558703,1
678b4b6b45ee875d7437c6a23,2025-01-18T14:33:28.777357,user_3,85.2,1,9,41.280803,1272.744,522.006,59,Focused 🎯,0,Moderate Productivity,7,3,0,4,0,2,1,5,0,4,10,193,24,10,8,45,,14,[],0,4,10,2,-1.229609609186696,1.338673879216661,-54.339417,19.188292,1
678b4b6b45ee875d7437c6a24,2025-01-18T14:38:28.777357,user_2,89.4,1,2,56.819528,1080.577,332.111,76,Focused 🎯,0,High Productivity,1,4,1,0,0,4,0,2,0,5,6,33,21,6,2,18,"{'type': 'CLEAN_CODE_CHAMPION', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a24_ach', 'timestamp': '2025-01-18T14:38:28.777357'}",11,[],0,5,6,2,-2.208208242734847,2.10908957370059,-37.91358,26.585752,1
678b4b6b45ee875d7437c6a25,2025-01-18T14:40:28.777357,user_3,39.1,2,6,38.293672,738.339,720.222,32,Distracted 😕,0,Low Productivity,4,3,0,2,5,5,0,1,1,2,18,38,43,6,1,86,,21,[],1,2,18,0,1.9193547296644489,-0.3193075175934897,46.942986,-34.148724,1
678b4b6b45ee875d7437c6a26,2025-01-18T14:41:28.777357,user_2,43.7,1,4,45.40494,715.811,770.765,55,In Flow 🌊,0,Moderate Productivity,13,0,0,3,7,5,3,0,3,9,20,93,14,8,3,93,,32,[],3,9,20,0,4.593267955423868,2.74062376054567,75.592094,-4.228975,-1
678b4b6b45ee875d7437c6a27,2025-01-18T14:50:28.777357,user_2,24.8,5,8,29.339534,303.302,876.234,45,Distracted 😕,0,Low Productivity,12,3,0,0,5,4,2,0,4,9,13,15,15,6,10,32,,26,[],4,9,13,0,5.043346064075148,0.2437279618991241,52.484745,3.275378,1
678b4b6b45ee875d7437c6a28,2025-01-18T15:00:28.777357,user_2,59.7,3,10,36.091332,686.928,584.874,78,In Flow 🌊,0,Moderate Productivity,19,0,0,3,2,0,0,1,1,5,7,18,28,3,5,84,,13,[],1,5,7,1,-0.1949671999799562,0.36368263514304344,16.715212,-38.879448,1
678b4b6b45ee875d7437c6a29,2025-01-18T15:01:28.777357,user_3,60.5,2,3,38.95591,405.069,525.12,55,In Flow 🌊,0,Moderate Productivity,16,5,2,5,2,3,1,3,1,1,10,65,48,3,9,71,,12,[],1,1,10,1,-0.2994648258066188,-1.0983558935713076,-1.22864,-10.210052,1
678b4b6b45ee875d7437c6a30,2025-01-18T15:03:28.777357,user_2,11.9,2,2,50.235228,402.371,716.343,55,Distracted 😕,0,Low Productivity,20,3,0,3,0,5,0,0,2,2,17,134,37,7,8,49,,21,[],2,2,17,0,2.4710415894328066,-0.49066608841138565,35.141144,-26.008738,1
678b4b6b45ee875d7437c6a31,2025-01-18T15:04:28.777357,user_1,54.7,5,2,17.342039,558.38,574.888,63,In Flow 🌊,0,Moderate Productivity,14,3,2,3,4,5,3,2,2,2,5,11,21,6,9,44,,9,[],2,2,5,1,-0.2513226998786516,-1.7149028012709422,-9.047271,27.377079,1
678b4b6b45ee875d7437c6a32,2025-01-18T15:12:28.777357,user_1,46.7,0,6,40.39651,567.557,448.995,80,In Flow 🌊,0,Moderate Productivity,20,5,0,1,4,4,3,2,4,4,6,8,0,3,10,1,,14,[],4,4,6,1,0.8115727496057334,0.14753646684310112,2.3112848,32.85105,1
678b4b6b45ee875d7437c6a33,2025-01-18T15:15:28.777357,user_2,67.2,1,4,52.078921,364.313,526.311,67,In Flow 🌊,0,Moderate Productivity,1,0,1,4,5,4,0,0,2,5,3,142,23,10,0,20,,10,[],2,5,3,1,-0.406888833010107,0.3073483704266794,-22.089521,26.79467,1
678b4b6b45ee875d7437c6a34,2025-01-18T15:16:28.777357,user_1,84.8,3,8,52.300266,994.618,396.772,84,Focused 🎯,0,High Productivity,20,3,1,4,2,2,2,2,0,3,4,123,36,9,7,25,"{'type': 'DEBUGGING_MASTER', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a34_ach', 'timestamp': '2025-01-18T15:16:28.777357'}",7,[],0,3,4,2,-2.8849272756868385,0.8684543450853224,-48.539272,-19.522238,1
678b4b6b45ee875d7437c6a35,2025-01-18T15:24:28.777357,user_1,73.2,3,8,52.632671,781.908,425.979,68,Focused 🎯,0,High Productivity,15,3,1,0,5,0,3,3,1,2,2,45,25,1,0,50,"{'type': 'DEBUGGING_MASTER', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a35_ach', 'timestamp': '2025-01-18T15:24:28.777357'}",5,[],1,2,2,2,-2.3831057612089555,-0.26994444036223103,-20.177837,3.9754527,1
678b4b6b45ee875d7437c6a36,2025-01-18T15:31:28.777357,user_1,43.1,3,5,31.363189,358.871,916.492,26,In Flow 🌊,0,Low Productivity,6,1,0,4,1,5,2,5,4,2,6,10,39,8,1,20,,12,[],4,2,6,0,1.9164964711850758,-2.5067309646058047,39.306427,30.706043,1
678b4b6b45ee875d7437c6a37,2025-01-18T15:37:28.777357,user_1,50.3,1,2,32.988609,515.434,612.468,67,In Flow 🌊,0,Moderate Productivity,6,5,3,0,5,0,0,0,2,1,0,145,7,4,5,77,,3,[],2,1,0,1,-1.4570110652323505,-2.119391609915105,-17.541897,23.730892,1
678b4b6b45ee875d7437c6a38,2025-01-18T15:44:28.777357,user_2,94.2,3,9,43.52085,1209.366,440.262,88,Focused 🎯,0,High Productivity,6,5,1,4,7,0,2,4,2,2,2,185,27,4,3,6,"{'type': 'DEBUGGING_MASTER', 'description': 'Maintained high code quality standards!', '_id': '678b4b6b45ee875d7437c6a38_ach', 'timestamp': '2025-01-18T15:44:28.777357'}",6,[],2,2,2,2,-2.813642851837958,0.9161167914404861,-40.391636,-32.3576,1
